date,Station ,size,magnification,length (mm),station,Sample ID,dry weight (mg),N%,C%,H%,N (ug),C (ug),H (ug)
1/10/2018,1,8.2,25,3.28,PS1,SH-F4,0.5236,9.8,43.44,6.44,43.24,191.66,28.41
1/10/2018,1,7.9,25,3.16,PS1,SH-F5,0.3727,10.79,38.34,5.13,47.62,169.18,22.65
1/10/2018,1,8.3,25,3.32,PS1,SH-F6,0.4705,10.49,40.63,6.02,46.3,179.27,26.55
1/10/2018,1,8.4,25,3.36,PS1,SH-F7,0.458,10.83,37.5,5.33,47.78,165.46,23.53
1/10/2018,1,8.5,25,3.4,PS1,SH-F8,0.4467,10.8,37.23,5.23,47.65,164.24,23.09
1/10/2018,1,7.7,25,3.08,PS1,SH-F9,0.1441,8.46,31.47,3.33,37.31,138.86,14.7
1/10/2018,1,8.6,25,3.44,PS1,SH-F10,0.4754,10.61,35.99,5.07,46.83,158.78,22.36
1/10/2018,1,8.4,25,3.36,PS1,SH-F11,0.4368,10.65,37.08,5.05,46.98,163.59,22.27
1/10/2018,1,8.6,25,3.44,PS1,SH-F12,0.4946,11.03,37.23,5.51,48.66,164.25,24.33
1/10/2018,1,8.5,25,3.4,PS1,SH-G1,0.452,10.82,36.23,5.23,47.74,159.86,23.1
1/10/2018,1,7.8,25,3.12,PS1,SH-G2,0.3428,10.58,37.42,4.89,46.69,165.11,21.55
1/10/2018,1,7.9,25,3.16,PS1,SH-G3,0.4237,10.49,36.02,4.89,46.26,158.94,21.6
1/10/2018,1,7.8,25,3.12,PS1,SH-G4,0.3897,10.64,37.4,5.19,46.95,164.99,22.88
1/10/2018,1,8.8,25,3.52,PS1,SH-G5,0.5547,10.46,39.48,5.95,46.14,174.16,26.24
1/10/2018,1,7.5,25,3,PS1,SH-G6,0.3473,9.93,36.21,4.78,43.82,159.77,21.1
1/10/2018,1,8.7,25,3.48,PS1,SH-G7,0.5094,10.68,37.69,5.48,47.14,166.29,24.2
1/10/2018,1,7,25,2.8,PS1,SH-G8,0.2422,9.9,34.89,4.17,43.66,153.93,18.39
1/10/2018,1,8.7,25,3.48,PS1,SH-G9,0.5346,10.61,38.65,5.72,46.82,170.53,25.23
1/10/2018,1,8.5,25,3.4,PS1,SH-G10,0.4893,10.77,36.98,5.41,47.51,163.17,23.87
1/10/2018,1,7.8,25,3.12,PS1,SH-G11,0.3679,10.72,38.34,5.12,47.31,169.14,22.57
1/10/2018,1,8.8,25,3.52,PS1,SH-G12,0.5705,10.37,41.54,6.17,45.74,183.27,27.21
1/10/2018,1,8,25,3.2,PS1,SH-H1,0.4081,11,39.28,6.48,48.53,173.29,28.58
1/10/2018,1,8.5,25,3.4,PS1,SH-H2,0.4654,10.46,39.49,6.58,46.17,174.24,29.05
